product_key,product_code,product_name,brand,category,subcategory,unit_price,primary_supplier,source_id
1,"ELE-001","Laptops M001","Acme","electronics","Laptops",220.9,"Supplier A","SAP-100001"
2,"ELE-019","Laptops M019","Vanta","electronics","Laptops",694.96,"Supplier D","SAP-100019"
3,"ELE-018","Phones M018","Hooli","electronics","Phones",624.02,"Supplier C","SAP-100018"
4,"ELE-002","Audio M002","Globex","electronics","Audio",648.68,"Supplier B","SAP-100002"
5,"APP-003","Mens M003","Initech","apparel","Mens",412.55,"Supplier C","SAP-100003"
6,"APP-004","Womens M004","Umbra","apparel","Womens",686.54,"Supplier D","SAP-100004"
7,"APP-005","Kids M005","Stark","apparel","Kids",260.92,"Supplier E","SAP-100005"
8,"HOM-006","Kitchen M006","Wayne","home","Kitchen",105.46,"Supplier F","SAP-100006"
9,"HOM-007","Furniture M007","Soylent","home","Furniture",319.4,"Supplier G","SAP-100007"
10,"HOM-008","Decor M008","Hooli","home","Decor",421.59,"Supplier H","SAP-100008"
11,"SPO-009","Fitness M009","Vanta","sports","Fitness",84.74,"Supplier I","SAP-100009"
12,"SPO-010","Outdoor M010","Lumen","sports","Outdoor",798.62,"Supplier J","SAP-100010"
13,"SPO-011","Team M011","Acme","sports","Team",76.56,"Supplier K","SAP-100011"
14,"BEA-012","Skincare M012","Globex","beauty","Skincare",886.92,"Supplier L","SAP-100012"
15,"BEA-013","Makeup M013","Initech","beauty","Makeup",351.41,"Supplier M","SAP-100013"
16,"BEA-014","Fragrance M014","Umbra","beauty","Fragrance",158.95,"Supplier N","SAP-100014"
17,"IND-015","Tools M015","Stark","industrial","Tools",636.11,"Supplier O","SAP-100015"
18,"IND-016","Safety M016","Wayne","industrial","Safety",576.96,"Supplier A","SAP-100016"
19,"IND-017","Fasteners M017","Soylent","industrial","Fasteners",424.1,"Supplier B","SAP-100017"
20,"ELE-020","Audio M020","Lumen","electronics","Audio",727.47,"Supplier E","SAP-100020"
21,"APP-021","Mens M021","Acme","apparel","Mens",823.13,"Supplier F","SAP-100021"
22,"APP-022","Womens M022","Globex","apparel","Womens",203.17,"Supplier G","SAP-100022"
23,"APP-023","Kids M023","Initech","apparel","Kids",583.92,"Supplier H","SAP-100023"
24,"HOM-024","Kitchen M024","Umbra","home","Kitchen",674.32,"Supplier I","SAP-100024"
25,"HOM-025","Furniture M025","Stark","home","Furniture",394.16,"Supplier J","SAP-100025"
26,"HOM-026","Decor M026","Wayne","home","Decor",897.63,"Supplier K","SAP-100026"
27,"SPO-027","Fitness M027","Soylent","sports","Fitness",683.87,"Supplier L","SAP-100027"
28,"SPO-028","Outdoor M028","Hooli","sports","Outdoor",156.58,"Supplier M","SAP-100028"
29,"SPO-029","Team M029","Vanta","sports","Team",355.52,"Supplier N","SAP-100029"
30,"BEA-030","Skincare M030","Lumen","beauty","Skincare",237.5,"Supplier O","SAP-100030"
31,"BEA-031","Makeup M031","Acme","beauty","Makeup",617.05,"Supplier A","SAP-100031"
