campaign_key,date,impressions,clicks,spend
1,2025-03-01 00:00:00.000,68238,737,324.56
1,2025-03-02 00:00:00.000,28707,920,180.75
1,2025-03-03 00:00:00.000,64072,1288,287.27
1,2025-03-04 00:00:00.000,25290,1368,227.39
1,2025-03-05 00:00:00.000,43916,644,236.45
1,2025-03-06 00:00:00.000,18803,537,320.59
1,2025-03-07 00:00:00.000,29695,373,277.51
1,2025-03-08 00:00:00.000,99677,4760,247.11
1,2025-03-09 00:00:00.000,19953,901,180.81
1,2025-03-10 00:00:00.000,70496,979,272.57
1,2025-03-11 00:00:00.000,76084,3347,182.08
1,2025-03-12 00:00:00.000,99173,2695,199.32
1,2025-03-13 00:00:00.000,63353,2831,254.61
1,2025-03-14 00:00:00.000,38008,1108,293.8
1,2025-03-15 00:00:00.000,21425,324,237.56
1,2025-03-16 00:00:00.000,47223,796,300.41
1,2025-03-17 00:00:00.000,25451,1070,285.49
1,2025-03-18 00:00:00.000,16966,619,181.96
1,2025-03-19 00:00:00.000,93199,1696,235.02
1,2025-03-20 00:00:00.000,35925,1487,204.08
1,2025-03-21 00:00:00.000,61963,2528,249.14
1,2025-03-22 00:00:00.000,36474,522,196.2
1,2025-03-23 00:00:00.000,24142,953,240.11
1,2025-03-24 00:00:00.000,64280,1653,202.3
1,2025-03-25 00:00:00.000,44302,1870,219.07
1,2025-03-26 00:00:00.000,86774,3470,274.72
1,2025-03-27 00:00:00.000,98502,1117,311.8
1,2025-03-28 00:00:00.000,47537,963,274.62
1,2025-03-29 00:00:00.000,32726,1550,226.41
1,2025-03-30 00:00:00.000,15152,745,303.55
1,2025-03-31 00:00:00.000,39370,1367,198.1
2,2025-06-15 00:00:00.000,73481,3079,359.33
2,2025-06-16 00:00:00.000,9581,568,609.85
2,2025-06-17 00:00:00.000,25299,742,582.28
2,2025-06-18 00:00:00.000,63163,1785,536.98
2,2025-06-19 00:00:00.000,69736,4025,562.36
2,2025-06-20 00:00:00.000,10187,401,342.71
2,2025-06-21 00:00:00.000,36277,435,356.27
2,2025-06-22 00:00:00.000,60163,2125,521.2
2,2025-06-23 00:00:00.000,73673,3562,461.68
2,2025-06-24 00:00:00.000,60727,857,494.49
2,2025-06-25 00:00:00.000,88746,1564,362.98
2,2025-06-26 00:00:00.000,18357,652,397.7
2,2025-06-27 00:00:00.000,28365,1044,452.15
2,2025-06-28 00:00:00.000,91138,4389,527.37
2,2025-06-29 00:00:00.000,92299,1228,541.55
2,2025-06-30 00:00:00.000,39278,506,363.74
2,2025-07-01 00:00:00.000,64948,1026,516.47
2,2025-07-02 00:00:00.000,15212,387,554.04
2,2025-07-03 00:00:00.000,31022,495,544.23
2,2025-07-04 00:00:00.000,99946,1056,482.83
2,2025-07-05 00:00:00.000,53443,1931,566.03
2,2025-07-06 00:00:00.000,41980,770,375.56
2,2025-07-07 00:00:00.000,43227,2016,372.98
2,2025-07-08 00:00:00.000,11847,316,463.35
2,2025-07-09 00:00:00.000,76662,1011,545.51
2,2025-07-10 00:00:00.000,83582,3458,482.75
2,2025-07-11 00:00:00.000,74949,2099,483.76
2,2025-07-12 00:00:00.000,82302,1509,384.38
2,2025-07-13 00:00:00.000,21487,1175,534.42
2,2025-07-14 00:00:00.000,23117,495,486.43
2,2025-07-15 00:00:00.000,13772,729,342.28
3,2025-08-20 00:00:00.000,14026,471,380.37
3,2025-08-21 00:00:00.000,27671,524,522.08
3,2025-08-22 00:00:00.000,12635,475,510.7
3,2025-08-23 00:00:00.000,93944,2909,365.35
3,2025-08-24 00:00:00.000,62559,3490,364.89
3,2025-08-25 00:00:00.000,18208,702,315.67
3,2025-08-26 00:00:00.000,96254,5303,330.38
3,2025-08-27 00:00:00.000,75603,4465,520.55
3,2025-08-28 00:00:00.000,17034,917,498.94
3,2025-08-29 00:00:00.000,48723,1284,422.12
3,2025-08-30 00:00:00.000,9044,257,357.94
3,2025-08-31 00:00:00.000,47834,2247,345.91
3,2025-09-01 00:00:00.000,56270,2227,407.46
3,2025-09-02 00:00:00.000,33614,1567,420.52
3,2025-09-03 00:00:00.000,40129,703,515.22
3,2025-09-04 00:00:00.000,11133,241,371.39
3,2025-09-05 00:00:00.000,98893,5326,519.79
3,2025-09-06 00:00:00.000,8191,392,378.72
3,2025-09-07 00:00:00.000,48306,734,416.41
3,2025-09-08 00:00:00.000,39217,1215,522.29
3,2025-09-09 00:00:00.000,26661,1215,309.2
3,2025-09-10 00:00:00.000,38339,2103,413.94
4,2025-11-25 00:00:00.000,99861,5470,4875.37
4,2025-11-26 00:00:00.000,19128,746,5016.28
4,2025-11-27 00:00:00.000,91521,4667,3724.49
4,2025-11-28 00:00:00.000,82425,1080,5487.33
4,2025-11-29 00:00:00.000,25132,548,4282.97
4,2025-11-30 00:00:00.000,49288,2775,4678.86
5,2026-01-02 00:00:00.000,50762,1314,318.01
5,2026-01-03 00:00:00.000,17789,1017,287.98
5,2026-01-04 00:00:00.000,84638,1307,281.25
5,2026-01-05 00:00:00.000,66925,2228,347.76
5,2026-01-06 00:00:00.000,78244,2184,428.18
5,2026-01-07 00:00:00.000,67233,1708,316.48
5,2026-01-08 00:00:00.000,23717,344,436.42
5,2026-01-09 00:00:00.000,47874,2456,411.94
5,2026-01-10 00:00:00.000,13286,275,447.24
5,2026-01-11 00:00:00.000,27441,399,312.76
5,2026-01-12 00:00:00.000,54627,1628,268.72
5,2026-01-13 00:00:00.000,47169,1085,476.89
5,2026-01-14 00:00:00.000,12073,695,446.81
5,2026-01-15 00:00:00.000,80869,3833,313.13
5,2026-01-16 00:00:00.000,68560,1034,433.37
5,2026-01-17 00:00:00.000,23919,253,441.45
5,2026-01-18 00:00:00.000,37135,614,439.97
5,2026-01-19 00:00:00.000,56790,2516,465.15
5,2026-01-20 00:00:00.000,19015,743,315.11
6,2026-03-01 00:00:00.000,17828,197,285.94
6,2026-03-02 00:00:00.000,92670,2981,300.88
6,2026-03-03 00:00:00.000,51456,829,489.82
6,2026-03-04 00:00:00.000,14637,269,404.26
6,2026-03-05 00:00:00.000,59773,2080,359.86
6,2026-03-06 00:00:00.000,63923,1191,320.84
6,2026-03-07 00:00:00.000,32530,772,374.56
6,2026-03-08 00:00:00.000,27481,322,414.78
6,2026-03-09 00:00:00.000,40215,1703,386.84
6,2026-03-10 00:00:00.000,80179,2722,291.34
6,2026-03-11 00:00:00.000,58202,981,317.29
6,2026-03-12 00:00:00.000,76919,1727,501.85
6,2026-03-13 00:00:00.000,79258,3942,500.76
6,2026-03-14 00:00:00.000,55069,1871,452.46
6,2026-03-15 00:00:00.000,53093,2953,387.65
6,2026-03-16 00:00:00.000,58905,1385,277.02
6,2026-03-17 00:00:00.000,86265,1807,479.02
6,2026-03-18 00:00:00.000,44822,579,501.26
6,2026-03-19 00:00:00.000,77393,2157,406.6
6,2026-03-20 00:00:00.000,38508,2260,294.22
6,2026-03-21 00:00:00.000,94096,2075,394.92
6,2026-03-22 00:00:00.000,15328,738,491.1
6,2026-03-23 00:00:00.000,83457,4366,456.17
6,2026-03-24 00:00:00.000,54504,3093,501.26
6,2026-03-25 00:00:00.000,30768,578,408.59
6,2026-03-26 00:00:00.000,99439,2778,408.36
6,2026-03-27 00:00:00.000,99823,2753,402.81
6,2026-03-28 00:00:00.000,26625,1015,314.69
6,2026-03-29 00:00:00.000,72517,2690,311.74
6,2026-03-30 00:00:00.000,12975,188,325
6,2026-03-31 00:00:00.000,36679,403,381.98
