product_key,month,units
1,2025-01-01 00:00:00.000,134
1,2025-02-01 00:00:00.000,343
1,2025-03-01 00:00:00.000,441
1,2025-04-01 00:00:00.000,250
1,2025-05-01 00:00:00.000,270
1,2025-06-01 00:00:00.000,494
1,2025-07-01 00:00:00.000,327
1,2025-08-01 00:00:00.000,160
1,2025-09-01 00:00:00.000,305
1,2025-10-01 00:00:00.000,198
1,2025-11-01 00:00:00.000,312
1,2025-12-01 00:00:00.000,200
4,2025-01-01 00:00:00.000,300
4,2025-02-01 00:00:00.000,58
4,2025-03-01 00:00:00.000,178
4,2025-04-01 00:00:00.000,180
4,2025-05-01 00:00:00.000,432
4,2025-06-01 00:00:00.000,234
4,2025-07-01 00:00:00.000,316
4,2025-08-01 00:00:00.000,88
4,2025-09-01 00:00:00.000,416
4,2025-10-01 00:00:00.000,344
4,2025-11-01 00:00:00.000,361
4,2025-12-01 00:00:00.000,409
5,2025-01-01 00:00:00.000,152
5,2025-02-01 00:00:00.000,470
5,2025-03-01 00:00:00.000,314
5,2025-04-01 00:00:00.000,302
5,2025-05-01 00:00:00.000,43
5,2025-06-01 00:00:00.000,344
5,2025-07-01 00:00:00.000,68
5,2025-08-01 00:00:00.000,160
5,2025-09-01 00:00:00.000,60
5,2025-10-01 00:00:00.000,122
5,2025-11-01 00:00:00.000,156
5,2025-12-01 00:00:00.000,59
6,2025-01-01 00:00:00.000,93
6,2025-02-01 00:00:00.000,191
6,2025-03-01 00:00:00.000,355
6,2025-04-01 00:00:00.000,72
6,2025-05-01 00:00:00.000,261
6,2025-06-01 00:00:00.000,198
6,2025-07-01 00:00:00.000,214
6,2025-08-01 00:00:00.000,305
6,2025-09-01 00:00:00.000,70
6,2025-10-01 00:00:00.000,294
6,2025-11-01 00:00:00.000,196
6,2025-12-01 00:00:00.000,216
7,2025-01-01 00:00:00.000,95
7,2025-02-01 00:00:00.000,249
7,2025-03-01 00:00:00.000,325
7,2025-04-01 00:00:00.000,275
7,2025-05-01 00:00:00.000,355
7,2025-06-01 00:00:00.000,470
7,2025-07-01 00:00:00.000,330
7,2025-08-01 00:00:00.000,476
7,2025-09-01 00:00:00.000,88
7,2025-10-01 00:00:00.000,284
7,2025-11-01 00:00:00.000,85
7,2025-12-01 00:00:00.000,250
8,2025-01-01 00:00:00.000,147
8,2025-02-01 00:00:00.000,71
8,2025-03-01 00:00:00.000,95
8,2025-04-01 00:00:00.000,161
8,2025-05-01 00:00:00.000,431
8,2025-06-01 00:00:00.000,230
8,2025-07-01 00:00:00.000,317
8,2025-08-01 00:00:00.000,27
8,2025-09-01 00:00:00.000,443
8,2025-10-01 00:00:00.000,183
8,2025-11-01 00:00:00.000,487
8,2025-12-01 00:00:00.000,4
9,2025-01-01 00:00:00.000,248
9,2025-02-01 00:00:00.000,69
9,2025-03-01 00:00:00.000,99
9,2025-04-01 00:00:00.000,417
9,2025-05-01 00:00:00.000,196
9,2025-06-01 00:00:00.000,493
9,2025-07-01 00:00:00.000,287
9,2025-08-01 00:00:00.000,258
9,2025-09-01 00:00:00.000,334
9,2025-10-01 00:00:00.000,253
9,2025-11-01 00:00:00.000,209
9,2025-12-01 00:00:00.000,350
10,2025-01-01 00:00:00.000,251
10,2025-02-01 00:00:00.000,212
10,2025-03-01 00:00:00.000,363
10,2025-04-01 00:00:00.000,430
10,2025-05-01 00:00:00.000,227
10,2025-06-01 00:00:00.000,250
10,2025-07-01 00:00:00.000,85
10,2025-08-01 00:00:00.000,42
10,2025-09-01 00:00:00.000,289
10,2025-10-01 00:00:00.000,15
10,2025-11-01 00:00:00.000,407
10,2025-12-01 00:00:00.000,389
11,2025-01-01 00:00:00.000,112
11,2025-02-01 00:00:00.000,149
11,2025-03-01 00:00:00.000,16
11,2025-04-01 00:00:00.000,140
11,2025-05-01 00:00:00.000,115
11,2025-06-01 00:00:00.000,275
11,2025-07-01 00:00:00.000,147
11,2025-08-01 00:00:00.000,86
11,2025-09-01 00:00:00.000,399
11,2025-10-01 00:00:00.000,234
11,2025-11-01 00:00:00.000,289
11,2025-12-01 00:00:00.000,380
12,2025-01-01 00:00:00.000,395
12,2025-02-01 00:00:00.000,392
12,2025-03-01 00:00:00.000,253
12,2025-04-01 00:00:00.000,281
12,2025-05-01 00:00:00.000,261
12,2025-06-01 00:00:00.000,57
12,2025-07-01 00:00:00.000,293
12,2025-08-01 00:00:00.000,58
12,2025-09-01 00:00:00.000,137
12,2025-10-01 00:00:00.000,396
12,2025-11-01 00:00:00.000,278
12,2025-12-01 00:00:00.000,421
13,2025-01-01 00:00:00.000,187
13,2025-02-01 00:00:00.000,277
13,2025-03-01 00:00:00.000,421
13,2025-04-01 00:00:00.000,387
13,2025-05-01 00:00:00.000,21
13,2025-06-01 00:00:00.000,389
13,2025-07-01 00:00:00.000,368
13,2025-08-01 00:00:00.000,225
13,2025-09-01 00:00:00.000,279
13,2025-10-01 00:00:00.000,111
13,2025-11-01 00:00:00.000,217
13,2025-12-01 00:00:00.000,52
14,2025-01-01 00:00:00.000,376
14,2025-02-01 00:00:00.000,424
14,2025-03-01 00:00:00.000,334
14,2025-04-01 00:00:00.000,384
14,2025-05-01 00:00:00.000,126
14,2025-06-01 00:00:00.000,152
14,2025-07-01 00:00:00.000,447
14,2025-08-01 00:00:00.000,16
14,2025-09-01 00:00:00.000,230
14,2025-10-01 00:00:00.000,134
14,2025-11-01 00:00:00.000,178
