line_id,order_id,quantity,unit_price,unit_cost,discount,line_total,order_date,customer_id,product_key,flag_key,ship_to_city_key,bill_to_city_key
"L00001","ORD00001",9,686.54,377.6,0,6178.86,2026-09-12 00:00:00.000,1052,6,6,8,4
"L00061","ORD00061",3,694.96,382.23,0,2084.88,2025-10-13 00:00:00.000,1016,2,12,8,4
"L00007","ORD00007",9,641.44,378.45,0,5772.96,2025-03-23 00:00:00.000,1058,51,2,10,2
"L00005","ORD00005",6,686.54,487.44,0,4119.24,2025-04-12 00:00:00.000,1021,6,1,16,16
"L00025","ORD00025",9,105.46,74.88,0,949.14,2025-05-21 00:00:00.000,1037,8,6,16,16
"L00002","ORD00002",3,858.85,506.72,0,2576.55,2026-06-13 00:00:00.000,1046,38,5,15,7
"L00026","ORD00026",4,645.96,355.28,0,2583.84,2025-07-10 00:00:00.000,1048,47,8,3,19
"L00037","ORD00037",2,345.48,203.83,0,690.96,2026-09-12 00:00:00.000,1058,48,13,20,12
"L00032","ORD00032",9,645.96,381.12,0,5813.64,2026-05-06 00:00:00.000,1046,47,9,5,17
"L00019","ORD00019",3,654.05,438.21,0,1962.15,2025-03-26 00:00:00.000,1052,34,7,14,18
"L00038","ORD00038",8,345.48,217.65,0,2763.84,2026-08-14 00:00:00.000,1050,48,5,7,15
"L00008","ORD00008",7,823.13,518.57,0,5761.91,2025-11-05 00:00:00.000,1016,21,3,17,5
"L00043","ORD00043",6,568.39,358.09,0,3410.34,2025-05-25 00:00:00.000,1016,36,11,2,10
"L00017","ORD00017",7,568.39,335.35,0,3978.73,2025-12-06 00:00:00.000,1056,36,6,20,12
"L00059","ORD00059",10,568.39,380.82,0,5683.9,2025-11-29 00:00:00.000,1036,36,7,14,18
"L00011","ORD00011",9,886.92,487.81,0,7982.28,2026-07-12 00:00:00.000,1034,14,10,18,14
"L00044","ORD00044",5,505.22,338.5,0,2526.1,2025-06-13 00:00:00.000,1016,50,9,9,13
"L00031","ORD00031",10,351.41,193.28,0,3514.1,2026-01-13 00:00:00.000,1037,15,7,18,14
"L00062","ORD00062",6,351.41,207.33,0,2108.46,2025-10-23 00:00:00.000,1050,15,5,15,7
"L00020","ORD00020",4,394.16,279.85,0,1576.64,2025-03-23 00:00:00.000,1007,25,3,1,1
"L00050","ORD00050",2,237.5,168.63,0,475,2025-12-14 00:00:00.000,1024,30,5,11,11
"L00014","ORD00014",3,727.47,487.4,0,2182.41,2025-12-13 00:00:00.000,1035,20,5,19,3
"L00035","ORD00035",1,727.47,516.5,0,727.47,2025-10-18 00:00:00.000,1034,20,10,6,6
"L00047","ORD00047",5,727.47,429.21,0,3637.35,2025-04-21 00:00:00.000,1055,20,10,10,2
"L00029","ORD00029",1,545.07,365.2,0,545.07,2026-07-18 00:00:00.000,1005,39,13,4,8
"L00073","ORD00073",3,679.53,428.1,0,2038.59,2025-12-12 00:00:00.000,1048,32,13,12,20
"L00013","ORD00013",4,230.05,144.93,0,920.2,2026-10-06 00:00:00.000,1043,55,6,12,20
"L00041","ORD00041",4,837.09,460.4,0,3348.36,2025-07-28 00:00:00.000,1030,46,6,8,4
"L00023","ORD00023",8,184.56,116.27,0,1476.48,2026-09-15 00:00:00.000,1055,60,7,2,10
"L00077","ORD00077",2,655.17,386.55,0,1310.34,2025-06-13 00:00:00.000,1020,54,12,20,12
"L00049","ORD00049",8,378.83,253.82,0,3030.64,2026-07-18 00:00:00.000,1029,57,13,4,8
"L00053","ORD00053",4,659.47,415.47,0,2637.88,2026-06-06 00:00:00.000,1054,59,6,12,20
"L00055","ORD00055",1,683.87,485.55,0,683.87,2026-08-16 00:00:00.000,1017,27,10,6,6
"L00056","ORD00056",4,191.04,105.07,0,764.16,2026-09-27 00:00:00.000,1047,37,9,13,9
"L00065","ORD00065",9,679.53,482.47,0,6115.77,2026-07-06 00:00:00.000,1013,32,13,16,16
"L00067","ORD00067",8,424.1,250.22,0,3392.8,2026-02-28 00:00:00.000,1007,19,7,10,2
"L00068","ORD00068",8,645.96,406.95,0,5167.68,2026-10-31 00:00:00.000,1027,47,3,17,5
"L00071","ORD00071",3,76.56,42.11,0,229.68,2026-09-10 00:00:00.000,1037,13,10,18,14
"L00074","ORD00074",9,659.47,441.84,0,5935.23,2026-02-20 00:00:00.000,1058,59,4,19,3
"L00079","ORD00079",1,234.4,157.05,0,234.4,2026-04-11 00:00:00.000,1010,49,10,14,18
"L00080","ORD00080",3,683.87,485.55,0,2051.61,2026-09-03 00:00:00.000,1044,27,3,1,1
"L00083","ORD00065",4,220.9,139.17,0,883.6,2026-07-06 00:00:00.000,1013,1,13,16,16
"L00085","ORD00074",1,19.5,13.85,0,19.5,2026-02-20 00:00:00.000,1058,,4,19,3
"L00086","ORD00069",10,336.24,184.93,0,3362.4,2025-04-02 00:00:00.000,1004,40,13,4,8
"L00089","ORD00042",1,648.68,434.62,0,648.68,2026-01-15 00:00:00.000,1049,4,5,15,7
"L00091","ORD00057",1,683.87,376.13,0,683.87,2025-07-15 00:00:00.000,1008,27,6,20,12
"L00092","ORD00015",9,648.68,382.72,0,5838.12,2026-04-14 00:00:00.000,1005,4,7,6,6
"L00095","ORD00063",9,648.68,460.56,0,5838.12,2025-10-08 00:00:00.000,1060,4,10,2,10
"L00097","ORD00066",3,42.8,25.25,0,128.4,2025-09-03 00:00:00.000,1038,52,8,3,19
"L00098","ORD00058",2,129,81.27,0,258,2026-09-19 00:00:00.000,1050,,4,7,15
"L00101","ORD00017",9,336.24,184.93,0,3026.16,2025-12-06 00:00:00.000,1056,40,6,20,12
"L00103","ORD00054",7,624.02,393.13,0,4368.14,2025-04-23 00:00:00.000,1044,3,8,19,3
"L00104","ORD00059",6,105.46,70.66,0,632.76,2025-11-29 00:00:00.000,1036,8,7,14,18
"L00107","ORD00072",4,481.99,284.37,0,1927.96,2025-07-17 00:00:00.000,1018,45,3,5,17
"L00109","ORD00040",1,84.7,56.75,0,84.7,2026-02-20 00:00:00.000,1016,42,9,1,1
"L00110","ORD00003",7,105.46,74.88,0,738.22,2026-03-24 00:00:00.000,1054,8,2,2,10
"L00113","ORD00001",1,410,258.3,0,410,2026-09-12 00:00:00.000,1052,,6,8,4
"L00115","ORD00075",8,105.46,74.88,0,843.68,2025-09-12 00:00:00.000,1021,8,10,6,6
"L00116","ORD00010",7,230.05,126.53,0,1610.35,2025-12-28 00:00:00.000,1040,55,4,11,11
"L00119","ORD00045",9,593.31,397.52,0,5339.79,2026-05-26 00:00:00.000,1030,58,6,16,16
"L00121","ORD00070",4,636.11,349.86,0,2544.44,2025-02-07 00:00:00.000,1060,17,5,11,11
"L00122","ORD00008",10,593.31,350.05,0,5933.1,2025-11-05 00:00:00.000,1016,58,3,17,5
"L00125","ORD00005",5,598.88,425.2,0,2994.4,2025-04-12 00:00:00.000,1021,44,1,16,16
"L00127","ORD00053",1,191.04,112.71,0,191.04,2026-06-06 00:00:00.000,1054,37,6,12,20
"L00128","ORD00024",6,886.92,558.76,0,5321.52,2026-08-04 00:00:00.000,1025,14,3,9,13
"L00131","ORD00048",7,234.4,128.92,0,1640.8,2025-02-22 00:00:00.000,1026,49,3,17,5
"L00133","ORD00058",3,727.47,458.31,0,2182.41,2026-09-19 00:00:00.000,1050,20,4,7,15
"L00134","ORD00049",4,191.04,128,0,764.16,2026-07-18 00:00:00.000,1029,37,13,4,8
"L00137","ORD00070",7,203.17,119.87,0,1422.19,2025-02-07 00:00:00.000,1060,22,5,11,11
"L00139","ORD00045",2,641.44,429.76,0,1282.88,2026-05-26 00:00:00.000,1030,51,6,16,16
"L00140","ORD00016",6,274.75,195.07,0,1648.5,2026-02-12 00:00:00.000,1033,33,9,13,9
"L00143","ORD00051",2,655.17,412.76,0,1310.34,2025-05-21 00:00:00.000,1003,54,10,18,14
"L00145","ORD00017",10,505.22,358.71,0,5052.2,2025-12-06 00:00:00.000,1056,50,6,20,12
"L00146","ORD00029",7,545.07,299.79,0,3815.49,2026-07-18 00:00:00.000,1005,39,13,4,8
"L00149","ORD00039",8,641.44,429.76,0,5131.52,2026-10-05 00:00:00.000,1057,51,11,14,18
"L00151","ORD00070",9,583.92,321.16,0,5255.28,2025-02-07 00:00:00.000,1060,23,5,11,11
"L00152","ORD00055",7,394.16,232.55,0,2759.12,2026-08-16 00:00:00.000,1017,25,10,6,6
"L00155","ORD00030",10,105.46,74.88,0,1054.6,2025-05-05 00:00:00.000,1015,8,5,11,11
"L00157","ORD00059",2,837.09,493.88,0,1674.18,2025-11-29 00:00:00.000,1036,46,7,14,18
"L00158","ORD00045",5,105.46,66.44,0,527.3,2026-05-26 00:00:00.000,1030,8,6,16,16
"L00161","ORD00025",7,345.48,190.01,0,2418.36,2025-05-21 00:00:00.000,1037,48,6,16,16
"L00163","ORD00005",2,319.4,201.22,0,638.8,2025-04-12 00:00:00.000,1021,9,1,16,16
"L00164","ORD00054",5,220.9,148,0,1104.5,2025-04-23 00:00:00.000,1044,1,8,19,3
"L00167","ORD00031",3,319.4,188.45,0,958.2,2026-01-13 00:00:00.000,1037,9,7,18,14
"L00169","ORD00009",8,156.58,104.91,0,1252.64,2026-07-03 00:00:00.000,1039,28,13,4,8
"L00170","ORD00013",9,568.39,403.56,0,5115.51,2026-10-06 00:00:00.000,1043,36,6,12,20
"L00173","ORD00058",6,105.46,66.44,0,632.76,2026-09-19 00:00:00.000,1050,8,4,7,15
"L00175","ORD00007",10,545.07,387,0,5450.7,2025-03-23 00:00:00.000,1058,39,2,10,2
"L00176","ORD00032",6,641.44,352.79,0,3848.64,2026-05-06 00:00:00.000,1046,51,9,5,17
"L00179","ORD00057",7,683.87,458.19,0,4787.09,2025-07-15 00:00:00.000,1008,27,6,20,12
"L00181","ORD00070",9,645.96,355.28,0,5813.64,2025-02-07 00:00:00.000,1060,47,5,11,11
"L00182","ORD00028",4,593.31,350.05,0,2373.24,2025-03-17 00:00:00.000,1055,58,9,17,5
"L00185","ORD00065",3,76.56,54.36,0,229.68,2026-07-06 00:00:00.000,1013,13,13,16,16
"L00187","ORD00030",8,624.02,368.17,0,4992.16,2025-05-05 00:00:00.000,1015,3,5,11,11
"L00188","ORD00074",2,798.62,503.13,0,1597.24,2026-02-20 00:00:00.000,1058,12,4,19,3
"L00191","ORD00077",8,727.47,400.11,0,5819.76,2025-06-13 00:00:00.000,1020,20,12,20,12
"L00193","ORD00031",5,674.32,424.82,0,3371.6,2026-01-13 00:00:00.000,1037,24,7,18,14
"L00194","ORD00039",8,576.96,386.56,0,4615.68,2026-10-05 00:00:00.000,1057,18,11,14,18
"L00197","ORD00029",3,319.4,188.45,0,958.2,2026-07-18 00:00:00.000,1005,9,13,4,8
"L00199","ORD00039",6,897.63,601.41,0,5385.78,2026-10-05 00:00:00.000,1057,26,11,14,18
"L00200","ORD00036",10,655.17,465.17,0,6551.7,2025-04-06 00:00:00.000,1035,54,9,13,9
"L00060","ORD00060",7,858.85,609.78,0.15,6011.95,2025-12-29 00:00:00.000,1035,38,3,1,1
"L00027","ORD00027",5,686.54,405.06,0.05,3432.7,2026-04-02 00:00:00.000,1046,6,10,10,2
"L00003","ORD00003",7,226.92,142.96,0.05,1588.44,2026-03-24 00:00:00.000,1054,41,2,2,10
"L00075","ORD00075",1,84.7,60.14,0.05,84.7,2025-09-12 00:00:00.000,1021,42,10,6,6
"L00006","ORD00006",7,84.7,46.59,0.15,592.9,2026-04-29 00:00:00.000,1059,42,5,3,19
"L00066","ORD00066",6,84.7,46.59,0.15,508.2,2025-09-03 00:00:00.000,1038,42,8,3,19
"L00070","ORD00070",6,645.96,458.63,0.1,3875.76,2025-02-07 00:00:00.000,1060,47,5,11,11
"L00057","ORD00057",3,345.48,203.83,0.05,1036.44,2025-07-15 00:00:00.000,1008,48,6,20,12
"L00072","ORD00072",9,645.96,381.12,0.15,5813.64,2025-07-17 00:00:00.000,1018,47,3,5,17
"L00051","ORD00051",8,42.8,23.54,0.05,342.4,2025-05-21 00:00:00.000,1003,52,10,18,14
"L00015","ORD00015",8,42.8,30.39,0.05,342.4,2026-04-14 00:00:00.000,1005,52,7,6,6
"L00081","ORD00008",4,655.17,360.34,0.05,2620.68,2025-11-05 00:00:00.000,1016,54,3,17,5
"L00004","ORD00004",8,568.39,380.82,0.1,4547.12,2026-02-10 00:00:00.000,1004,36,9,9,13
"L00036","ORD00036",4,158.95,87.42,0.15,635.8,2025-04-06 00:00:00.000,1035,16,9,13,9
"L00033","ORD00033",8,158.95,100.14,0.05,1271.6,2026-04-06 00:00:00.000,1005,16,13,12,20
"L00034","ORD00034",6,158.95,106.5,0.1,953.7,2025-02-26 00:00:00.000,1059,16,4,19,3
"L00028","ORD00028",10,394.16,248.32,0.1,3941.6,2025-03-17 00:00:00.000,1055,25,9,17,5
"L00063","ORD00063",7,636.11,400.75,0.05,4452.77,2025-10-08 00:00:00.000,1060,17,10,2,10
"L00069","ORD00069",3,237.5,159.12,0.05,712.5,2025-04-02 00:00:00.000,1004,30,13,4,8
"L00021","ORD00021",4,424.1,233.26,0.05,1696.4,2025-02-13 00:00:00.000,1029,19,6,8,4
"L00010","ORD00010",7,727.47,516.5,0.1,5092.29,2025-12-28 00:00:00.000,1040,20,4,11,11
"L00022","ORD00022",2,203.17,119.87,0.1,406.34,2026-10-15 00:00:00.000,1043,22,8,15,7
"L00048","ORD00048",9,674.32,424.82,0.15,6068.88,2025-02-22 00:00:00.000,1026,24,3,17,5
"L00054","ORD00054",6,674.32,451.79,0.15,4045.92,2025-04-23 00:00:00.000,1044,24,8,19,3
"L00009","ORD00009",3,683.87,458.19,0.05,2051.61,2026-07-03 00:00:00.000,1039,27,13,4,8
"L00018","ORD00018",9,683.87,430.84,0.15,6154.83,2026-05-24 00:00:00.000,1012,27,14,7,15
"L00030","ORD00030",2,98.48,69.92,0.15,196.96,2025-05-05 00:00:00.000,1015,56,5,11,11
"L00012","ORD00012",4,617.05,364.06,0.15,2468.2,2026-01-18 00:00:00.000,1025,31,9,5,17
"L00064","ORD00064",4,191.04,128,0.1,764.16,2025-02-13 00:00:00.000,1019,37,3,9,13
"L00052","ORD00052",6,234.4,138.3,0.1,1406.4,2025-12-02 00:00:00.000,1009,49,3,5,17
"L00024","ORD00024",6,230.05,154.13,0.15,1380.3,2026-08-04 00:00:00.000,1025,55,3,9,13
"L00016","ORD00016",1,659.47,362.71,0.1,659.47,2026-02-12 00:00:00.000,1033,59,9,13,9
"L00039","ORD00039",4,659.47,441.84,0.05,2637.88,2026-10-05 00:00:00.000,1057,59,11,14,18
"L00040","ORD00040",10,481.99,342.21,0.1,4819.9,2026-02-20 00:00:00.000,1016,45,9,1,1
"L00078","ORD00078",1,261.45,164.71,0.15,261.45,2025-05-01 00:00:00.000,1045,53,4,7,15
"L00042","ORD00042",4,897.63,529.6,0.15,3590.52,2026-01-15 00:00:00.000,1049,26,5,15,7
"L00045","ORD00045",8,394.16,279.85,0.05,3153.28,2026-05-26 00:00:00.000,1030,25,6,16,16
"L00046","ORD00046",6,689.34,379.14,0.1,4136.04,2026-08-21 00:00:00.000,1014,35,5,3,19
"L00058","ORD00058",5,648.68,408.67,0.1,3243.4,2026-09-19 00:00:00.000,1050,4,4,7,15
"L00076","ORD00076",1,654.05,359.73,0.1,654.05,2026-08-10 00:00:00.000,1047,34,9,13,9
"L00082","ORD00071",3,260.92,153.94,0.1,782.76,2026-09-10 00:00:00.000,1037,7,10,18,14
"L00084","ORD00026",8,274.75,184.08,0.15,2198,2025-07-10 00:00:00.000,1048,33,8,3,19
"L00087","ORD00020",8,659.47,389.09,0.05,5275.76,2025-03-23 00:00:00.000,1007,59,3,1,1
"L00088","ORD00022",8,880.52,554.73,0.1,7044.16,2026-10-15 00:00:00.000,1043,43,8,15,7
"L00090","ORD00067",9,689.34,489.43,0.15,6204.06,2026-02-28 00:00:00.000,1007,35,7,10,2
"L00093","ORD00027",5,645.96,406.95,0.05,3229.8,2026-04-02 00:00:00.000,1046,47,10,10,2
"L00094","ORD00075",5,689.34,461.86,0.1,3446.7,2025-09-12 00:00:00.000,1021,35,10,6,6
"L00096","ORD00012",7,261.45,143.8,0.15,1830.15,2026-01-18 00:00:00.000,1025,53,9,5,17
"L00099","ORD00008",3,654.05,438.21,0.05,1962.15,2025-11-05 00:00:00.000,1016,34,3,17,5
"L00100","ORD00059",4,576.96,409.64,0.1,2307.84,2025-11-29 00:00:00.000,1036,18,7,14,18
"L00102","ORD00066",6,424.1,250.22,0.15,2544.6,2025-09-03 00:00:00.000,1038,19,8,3,19
"L00105","ORD00073",8,897.63,637.32,0.05,7181.04,2025-12-12 00:00:00.000,1048,26,13,12,20
"L00106","ORD00008",4,191.04,105.07,0.1,764.16,2025-11-05 00:00:00.000,1016,37,3,17,5
"L00108","ORD00060",2,727.47,458.31,0.15,1454.94,2025-12-29 00:00:00.000,1035,20,3,1,1
"L00111","ORD00051",7,394.16,216.79,0.05,2759.12,2025-05-21 00:00:00.000,1003,25,10,18,14
"L00112","ORD00033",8,568.39,335.35,0.1,4547.12,2026-04-06 00:00:00.000,1005,36,13,12,20
"L00114","ORD00028",3,481.99,322.93,0.15,1445.97,2025-03-17 00:00:00.000,1055,45,9,17,5
"L00117","ORD00006",6,84.7,49.97,0.05,508.2,2026-04-29 00:00:00.000,1059,42,5,3,19
"L00118","ORD00055",2,191.04,120.36,0.1,382.08,2026-08-16 00:00:00.000,1017,37,10,6,6
"L00120","ORD00009",1,659.47,468.22,0.15,659.47,2026-07-03 00:00:00.000,1039,59,13,4,8
