date,target_revenue
2025-02-01 00:00:00.000,32000
2025-03-01 00:00:00.000,41000
2025-04-01 00:00:00.000,49000
2025-05-01 00:00:00.000,20000
2025-06-01 00:00:00.000,13000
2025-07-01 00:00:00.000,24000
2025-09-01 00:00:00.000,8000
2025-10-01 00:00:00.000,17000
2025-11-01 00:00:00.000,31000
2025-12-01 00:00:00.000,45000
2026-01-01 00:00:00.000,19000
2026-02-01 00:00:00.000,38000
2026-03-01 00:00:00.000,7000
2026-04-01 00:00:00.000,29000
2026-05-01 00:00:00.000,34000
2026-06-01 00:00:00.000,6000
2026-07-01 00:00:00.000,47000
2026-08-01 00:00:00.000,22000
2026-09-01 00:00:00.000,30000
2026-10-01 00:00:00.000,40000
